size,clique
3,"gaetano_kanizsa | angelo_majorana | fabio_metelli"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giovanni_battista_pellizzi"
3,"manicomio_san_lazzaro_di_reggio_emilia | giulio_cesare_ferrari | giovanni_battista_pellizzi"
3,"eugenio_tanzi | manicomio_san_lazzaro_di_reggio_emilia | giovanni_battista_pellizzi"
3,"emil_kraepelin | marco_levi_bianchini | ernesto_belmondo"
3,"edoardo_weiss | marco_levi_bianchini | societ_psicoanalitica_italiana"
3,"giuseppe_carlo_riquier | riccardo_bozzi | carlo_berlucchi"
3,"angelo_della_beffa | riccardo_bozzi | carlo_berlucchi"
3,"giuseppe_seppilli | giuseppe_amadei | silvio_tonnini"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | gaetano_kanizsa | angelo_majorana"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | angelo_majorana | ferruccio_banissoni"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | angelo_majorana | fabio_metelli"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | gaetano_kanizsa | fabio_metelli"
3,"mario_ponzo | istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | agostino_gemelli"
3,"mario_ponzo | istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | angelo_majorana"
3,"mario_ponzo | istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | ferruccio_banissoni"
3,"societ_italiana_di_psicologia | sante_de_sanctis | vittorio_benussi"
3,"edoardo_weiss | sante_de_sanctis | vittorio_benussi"
3,"giuseppe_amadei | cesare_lombroso | paolo_mantegazza"
3,"camillo_golgi | cesare_lombroso | paolo_mantegazza"
3,"angelo_de_vincenti | cesare_lombroso | paolo_mantegazza"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | carlo_besta | silvio_brambilla"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi | silvio_brambilla"
3,"riccardo_bozzi | carlo_besta | silvio_brambilla"
3,"ospedale_psichiatrico_provinciale_paolo_pini | riccardo_bozzi | silvio_brambilla"
3,"franco_fornari | luciana_nissim_momigliano | cesare_luigi_musatti"
3,"franco_fornari | societ_psicoanalitica_italiana | luciana_nissim_momigliano"
3,"dina_vallino | franco_fornari | luciana_nissim_momigliano"
3,"dina_vallino | societ_psicoanalitica_italiana | luciana_nissim_momigliano"
3,"franco_fornari | enzo_morpurgo | luciana_nissim_momigliano"
3,"societ_psicoanalitica_italiana | enzo_morpurgo | luciana_nissim_momigliano"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | luciana_nissim_momigliano | cesare_luigi_musatti"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari | luciana_nissim_momigliano"
3,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | luciana_nissim_momigliano"
3,"alberto_madeddu | ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi"
3,"eugenio_medea | alberto_madeddu | riccardo_bozzi"
3,"alberto_madeddu | ospedale_psichiatrico_provinciale_paolo_pini | riccardo_bozzi"
3,"angelo_della_beffa | alberto_madeddu | ospedale_psichiatrico_provinciale_di_milano_in_mombello"
3,"eugenio_medea | angelo_della_beffa | alberto_madeddu"
3,"angelo_della_beffa | alberto_madeddu | riccardo_bozzi"
3,"carlo_lorenzo_cazzullo | virginio_porta | neurodeliri_di_niguarda"
3,"dario_de_martis | carlo_lorenzo_cazzullo | neurodeliri_di_niguarda"
3,"dario_de_martis | virginio_porta | neurodeliri_di_niguarda"
3,"eugenio_medea | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
3,"eugenio_medea | serafino_biffi | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"serafino_biffi | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
3,"serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"serafino_biffi | andrea_verga | achille_sacchi"
3,"nicola_perrotti | edoardo_weiss | societ_psicoanalitica_italiana"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_basaglia | giovanni_gionni_jervis"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | giovanni_gionni_jervis | elvio_fachinelli"
3,"carlo_de_sanctis | sante_de_sanctis | domenico_antonio_pisani"
3,"societ_italiana_di_psicologia | agostino_gemelli | luigi_meschieri"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | agostino_gemelli | luigi_meschieri"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | luigi_meschieri | ferruccio_banissoni"
3,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | gaetano_kanizsa | luigi_meschieri"
3,"eugenio_medea | giuseppe_antonini_junior | lega_italiana_di_igiene_e_profilassi_mentale"
3,"giuseppe_antonini_junior | lega_italiana_di_igiene_e_profilassi_mentale | ernesto_lugaro"
3,"giuseppe_antonini_junior | lega_italiana_di_igiene_e_profilassi_mentale | giuseppe_antonini_senior"
3,"eugenio_medea | giuseppe_antonini_junior | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"giuseppe_antonini_junior | villa_antonini_poi_stabilimento_sanitario_biffi | giuseppe_antonini_senior"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | arturo_donaggio"
3,"eugenio_tanzi | manicomio_san_lazzaro_di_reggio_emilia | arturo_donaggio"
3,"manicomio_san_lazzaro_di_reggio_emilia | camillo_golgi | arturo_donaggio"
3,"camillo_golgi | cesare_lombroso | arturo_donaggio"
3,"alberto_marzi | enzo_bonaventura | maria_luisa_falorni"
3,"enrico_morselli | sante_de_sanctis | gioacchino_fumarola"
3,"enrico_morselli | gioacchino_fumarola | ugo_cerletti"
3,"sante_de_sanctis | gioacchino_fumarola | giovanni_mingazzini"
3,"gioacchino_fumarola | giovanni_mingazzini | ugo_cerletti"
